007,No change required for: 007
NPA 17,Updated measure specifies overall performance rate should be 1st Performance Rate but existing measure: NPA17 has no strata (singlePerformanceRate).
NPA 18,Updated measure specifies overall performance rate should be 1st Performance Rate but existing measure: NPA18 has no strata (singlePerformanceRate).
NPA 19,Updated measure specifies overall performance rate should be 1st Performance Rate but existing measure: NPA19 has no strata (singlePerformanceRate).
NPA 20,Updated measure specifies overall performance rate should be 1st Performance Rate but existing measure: NPA20 has no strata (singlePerformanceRate).
NPA 21,measure doesn't exist in measures-data
OBERD 2,measure doesn't exist in measures-data
OBERD 7,measure doesn't exist in measures-data
OBERD 13,measure doesn't exist in measures-data
OBERD 16,measure doesn't exist in measures-data
OBERD 17,measure doesn't exist in measures-data
QUANTUM 40,measure doesn't exist in measures-data
STS 2,measure doesn't exist in measures-data
STS 4,measure doesn't exist in measures-data
STS 6,measure doesn't exist in measures-data
STS 7,Updated measure specifies overall performance rate should be 1st Performance Rate but existing measure: STS7 has no strata (singlePerformanceRate).
WELL 15,measure doesn't exist in measures-data
WELL 19,measure doesn't exist in measures-data
WELL 22,measure doesn't exist in measures-data
WELL 23,measure doesn't exist in measures-data
NHBPC 7,No change required for: NHBPC7
NHBPC 15,No change required for: NHBPC15
NHBPC 16,Updated measure specifies overall performance rate should be 3rd Performance Rate but existing measure: NHBPC16 has no strata (singlePerformanceRate).
